Feature Model,Number of features (NF),Number of Mandatory Features (NM),Number of top features (NTop),Number of leaf Features (NLeaf),Depth of tree Max (DT Max),Cognitive Complexity of a Feature Model (CogC),Feature EXtendibility (FEX),Flexibility of configuration (FoC),Single Cyclic Dependent Features (SCDF),Multiple Cyclic Dependent Features (MCDF),Number of Features Referenced in Constraints Mean (Rden),Ratio of variability (RoV),Number of valid configurations (NVC),Number Groups Or (NGOr),Number Groups XOR (NGXOr)
HDD Seagate,27,5,6,20,3,6,36,0.03703703704,16,0,0.4117647059,2.461538462,560,1,5
WindFarm,27,15,5,19,5,4,19,0.03703703704,0,0,0,2.5,72,0,4
Livraria Online,28,6,6,22,4,3,27,0.4285714286,2,3,1,3.333333333,58080,2,1
SlotsAndModules,28,5,2,18,4,7,36,0.1428571429,18,0,0.56,2,6,0,7
VR application,29,9,8,19,4,5,22,0.2068965517,2,1,1,2.2,3276,2,3
SWAMP Platform,29,18,9,20,4,3,20,0.1379310345,0,0,0,2.583333333,360,3,0
Gophone messaging,29,13,7,20,6,2,20,0.3103448276,0,0,1,2.727272727,9024,2,0
Marketplace para PYMES,31,19,8,22,2,0,22,0.3548387097,0,0,0,3.333333333,960,0,0
social network applications,31,8,9,22,4,4,27,0.3870967742,0,5,1,2.615384615,43200,4,0
Automotive system - 705,31,8,5,20,6,8,31,0.09677419355,9,2,0.6666666667,2,1344,1,7
Bike Computer Family,32,13,5,22,5,6,28,0.125,6,0,1,2.3125,240,0,6
Robot Calibration,33,10,9,23,3,8,30,0,4,3,0.9090909091,2.222222222,648,1,7
Jetbrains,33,13,3,25,4,2,28,0.2727272727,3,0,2.666666667,3.4,4884,0,2
Limerick Bike Sharing System,34,25,6,26,5,2,26,0.02941176471,0,0,0,3.5,48,1,1
Text To Speech App,34,5,7,24,5,8,26,0.1176470588,2,0,1,2.277777778,267840,3,5
AmazonEC2,35,2,3,24,6,9,29,0.1428571429,5,0,1,2.15,1758,0,9
MarketplaceMiso,35,21,6,28,2,0,28,0.3714285714,0,0,0.3333333333,4.857142857,6144,0,0
Control Biometrico,35,14,9,23,5,6,27,0.2,1,3,0.75,2.222222222,23040,5,1
Inventory,37,9,2,28,4,6,33,0.1621621622,0,5,1,2.8,2028096,4,2
Agent Illustration System,37,20,10,26,3,2,26,0.2162162162,0,0,0,2.923076923,57600,2,0
mac,39,1,10,28,8,5,28,0.5641025641,0,0,0.5,2.6875,7302400,0,5
VMTools-RA,40,13,3,26,6,4,26,0.35,0,0,1,2.388888889,737280,3,1
ebay,40,13,14,30,5,8,32,0.05,1,1,1,2.611111111,2103120,6,2
Swap MArketplace,43,26,7,34,3,0,34,0.3720930233,0,0,1.5,4.666666667,2376,0,0
Emergency Response Application,43,22,3,32,4,5,32,0.1395348837,0,0,0,2.9375,23040,4,1
Tree Stem Deformation Simulator,43,13,9,28,5,10,33,0.04651162791,0,5,0.6,2.08,1202985,10,0
Wireless sensor actuator network,44,3,4,33,4,2,33,0.6363636364,0,0,0,3.461538462,13441204224,2,0
TrafficLight,44,12,10,31,5,10,39,0,3,5,0.7857142857,2.304347826,97200,2,8
MobiCent,45,10,6,32,5,6,32,0.3333333333,0,0,0,2.631578947,157437000,4,2
Electronic Drum,52,15,5,36,5,11,36,0.01923076923,0,0,0,2.296296296,331776,0,11
Plone Meeting,57,13,7,41,4,9,41,0.2280701754,0,0,0,2.6,8776581120,5,4
